model_name,model_params,r2,mae,average_precisione,mse,rmse,explained_var
GaussianProcessRegressor,"{'alpha': 0.01, 'kernel': RBF(length_scale=1)}",0.8441163024842242,1.9781491040458359,0.0788579837966494,10.116864590498839,3.1807019021748704,0.847787985149094
GaussianProcessRegressor,"{'alpha': 1e-05, 'kernel': RBF(length_scale=1)}",0.8431536841363225,1.9551315805183758,0.07787948641735341,10.179338599219767,3.190507577050988,0.8466988486528872
GradientBoostingRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.9}",0.8305594172781103,2.5429887225539893,0.08581441368256901,10.996707538061148,3.3161283958950003,0.8331795701495344
KNeighborsRegressor,"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.8188925055172369,2.452647013678611,0.08630673267971345,11.753891055998354,3.428394822070287,0.8191647512506881
GradientBoostingRegressor,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",0.8179033959733786,2.4440551076838806,0.08274916449315661,11.818084345481832,3.4377440779502235,0.8181261729211354
MLPRegressor,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.8010228487227737,2.45221141982202,0.0860083404961489,12.913633228844725,3.5935544004292916,0.8022699804097897
MLPRegressor,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01, 'solver': 'lbfgs'}",0.7837368697932854,1.9410760354183605,0.07468278662450556,14.035494660994493,3.7463975577872795,0.7847591914238508
MLPRegressor,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.772043859072243,2.761168645490284,0.10507337972906783,14.794372003559866,3.8463452787756673,0.8138162867163732
DecisionTreeRegressor,"{'max_depth': 100, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.766811822239344,2.9021568627450978,0.0990283796184617,15.133931617647063,3.8902354193091018,0.7739407302192188
DecisionTreeRegressor,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.764034839113159,2.8822058823529404,0.09770380431425885,15.314158047385627,3.9133308124135926,0.7640350153889238
RandomForestRegressor,"{'bootstrap': False, 'max_depth': 2, 'n_estimators': 20}",0.7405119194956609,3.166859477124184,0.09801573265559978,16.840797435185195,4.103754066118631,0.7410495465966853
RandomForestRegressor,"{'bootstrap': True, 'max_depth': None, 'n_estimators': 20}",0.739512856025462,3.152882352941177,0.11393355468873184,16.905636735294124,4.111646474989566,0.7456638648741242
RandomForestRegressor,"{'bootstrap': True, 'max_depth': 4, 'n_estimators': 500}",0.7316832421385615,3.0728898950004266,0.11473254524588931,17.41377931050886,4.172982064484445,0.7378031587732099
SVR,"{'C': 100, 'coef0': 0, 'epsilon': 0.5, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6331051345414292,4.400581025242382,0.1428985149032856,23.81150647531956,4.8797035233013455,0.6396091555858937
ElasticNet,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.1, 'selection': 'random'}",0.5853154522308557,4.413986887071029,0.15006630994444956,26.91306072675179,5.1877799420129405,0.5868629843231143
Ridge,"{'alpha': 1, 'fit_intercept': False}",0.5849704074892805,4.487835773420293,0.15053707620647358,26.935454158417894,5.18993777982144,0.5866275971818444
Lasso,"{'alpha': 0.001, 'fit_intercept': True, 'max_iter': 1000, 'selection': 'random'}",0.5715598500911936,4.627834717444282,0.15301919749707338,27.80580041939126,5.273120558017924,0.5727317840765016
RandomForestRegressor,"{'bootstrap': True, 'max_depth': 1, 'n_estimators': 100}",0.5712315211951883,4.333508136455049,0.15754119739349676,27.82710899132642,5.275140660809569,0.5731219048808744
Ridge,"{'alpha': 10, 'fit_intercept': False}",0.5631939910245509,4.070203596726933,0.14794327461481707,28.34874535019043,5.324353984305554,0.5639880332822769
SVR,"{'C': 100, 'coef0': 1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.5554745456187324,3.985202090806566,0.14387190831269675,28.84973798206272,5.371195209826461,0.5580024123980183
Lasso,"{'alpha': 0.1, 'fit_intercept': True, 'max_iter': 5000, 'selection': 'random'}",0.5505725675283633,4.3377895176659615,0.1541292052256588,29.167876757035256,5.400729280109794,0.5518536238524485
ElasticNet,"{'alpha': 1, 'fit_intercept': True, 'l1_ratio': 0.1, 'selection': 'cyclic'}",0.48494634313697094,4.225260437783061,0.15756213598298605,33.42702403371707,5.78161085111382,0.48535433036529896
KNeighborsRegressor,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.376119110223195,4.053725490196079,0.16294316096561626,40.489920261437916,6.363169042343439,0.4596707133107377
GradientBoostingRegressor,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.9}",-0.11189111596793055,7.048092084014669,0.2504275056205605,72.16182345487275,8.49481156088072,-0.11189002232513579
Ridge,"{'alpha': 100000, 'fit_intercept': True}",-0.12844937777137133,7.1093952959653395,0.25248779046279,73.2364559866196,8.557830098022489,-0.12844937769087394
ElasticNet,"{'alpha': 1, 'fit_intercept': True, 'l1_ratio': 0.9, 'selection': 'cyclic'}",-0.12890625,7.111029411764707,0.25254147652860304,73.26610703125003,8.559562315402,-0.12890625000000022
Lasso,"{'alpha': 1, 'fit_intercept': True, 'max_iter': 1000, 'selection': 'cyclic'}",-0.12890625,7.111029411764707,0.25254147652860304,73.26610703125003,8.559562315402,-0.12890625000000022
